time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-11T02:13:53.800Z,46.086834,-122.3856659,15.92,2.23,md,39,61,0.02376,0.15,uw,uw61024617,2015-06-11T02:17:50.141Z,"20km NNE of Amboy, Washington",earthquake
2015-06-11T02:07:14.340Z,37.6947,-117.6625,5.05,2.09,ml,12,167.74,0.424,,nn,nn00498168,2015-06-11T02:09:04.815Z,"37km W of Goldfield, Nevada",earthquake
2015-06-11T02:04:35.000Z,61.493,-146.7016,27.8,1.7,ml,,,,0.3,ak,ak11623023,2015-06-11T02:11:30.603Z,"44km NNW of Valdez, Alaska",earthquake
2015-06-11T02:00:03.780Z,37.6857,-117.6583,7,1.58,ml,8,176.97,0.483,,nn,nn00498167,2015-06-11T02:01:56.276Z,"37km W of Goldfield, Nevada",earthquake
2015-06-11T01:50:27.641Z,37.692,-117.648,5.6571,3.43,ml,19,91.24,0.459,0.1378,nn,nn00498164,2015-06-11T02:11:55.801Z,"36km W of Goldfield, Nevada",earthquake
2015-06-11T01:49:43.740Z,-31.4364,-179.8285,445.62,4.9,mb,,78,2.732,1.21,us,us20002nvq,2015-06-11T02:07:58.002Z,"88km W of L'Esperance Rock, New Zealand",earthquake
2015-06-11T01:37:44.540Z,38.8353348,-122.8011703,2.58,0.48,md,11,118,0.008995,0.03,nc,nc72464306,2015-06-11T01:39:17.770Z,"6km WNW of Cobb, California",earthquake
2015-06-11T01:13:16.000Z,59.9317,-140.0346,5.3,3,ml,,,,0.89,ak,ak11623017,2015-06-11T01:34:01.048Z,"46km NNW of Yakutat, Alaska",earthquake
2015-06-11T00:59:52.000Z,63.2496,-149.3585,79.6,2.5,ml,,,,0.62,ak,ak11623009,2015-06-11T01:24:26.174Z,"25km SW of Cantwell, Alaska",earthquake
2015-06-11T00:50:44.090Z,53.4753,-163.7637,22.58,4.3,mb,,173,1.362,0.49,us,us20002nv8,2015-06-11T02:11:07.829Z,"151km ESE of Akutan, Alaska",earthquake
2015-06-11T00:40:19.900Z,39.1986667,-123.1138333,9.15,1.49,md,8,214,0.1456,0.05,nc,nc72464266,2015-06-11T01:57:13.200Z,"8km NNE of Talmage, California",earthquake
2015-06-11T00:30:57.750Z,33.5086667,-116.5603333,6.045,0.39,ml,20,99,0.03765,0.17,ci,ci37397160,2015-06-11T00:34:44.660Z,"12km ESE of Anza, California",earthquake
2015-06-11T00:16:33.200Z,37.6508333,-118.8106667,2.68,0.19,md,9,201,0.02378,0.01,nc,nc72464226,2015-06-11T01:44:38.260Z,"14km E of Mammoth Lakes, California",earthquake
2015-06-11T00:10:31.000Z,67.9416,-164.8121,32.8,3.5,ml,,,,1.26,ak,ak11623002,2015-06-11T00:53:20.125Z,"88km WNW of Noatak, Alaska",earthquake
2015-06-11T00:09:01.070Z,35.6506667,-121.06,5.36,0.92,md,16,79,0.05721,0.08,nc,nc72464221,2015-06-11T01:42:39.030Z,"9km N of Cambria, California",earthquake
2015-06-11T00:04:26.290Z,33.3005,-117.1825,-0.001,1.78,ml,12,127,0.1515,0.24,ci,ci37397152,2015-06-11T00:08:57.919Z,"11km SE of Fallbrook, California",earthquake
2015-06-10T23:58:03.000Z,62.429,-151.3224,11.7,1.6,ml,,,,0.98,ak,ak11622903,2015-06-11T00:12:00.234Z,"63km W of Talkeetna, Alaska",earthquake
2015-06-10T23:39:18.890Z,46.848,-121.7553333,0.04,0.75,md,11,77,0.01971,0.12,uw,uw61024562,2015-06-11T00:43:06.294Z,"27km NNW of Packwood, Washington",earthquake
2015-06-10T23:28:47.850Z,34.4643333,-119.02,0.02,1.72,ml,19,62,0.1305,0.18,ci,ci37397136,2015-06-10T23:33:26.715Z,"12km NW of Fillmore, California",earthquake
2015-06-10T22:43:29.000Z,63.0975,-151.4269,0,1.8,ml,,,,0.62,ak,ak11622891,2015-06-10T22:59:17.766Z,"109km NW of Talkeetna, Alaska",earthquake
2015-06-10T22:27:28.000Z,62.8296,-149.6455,62.6,1.9,ml,,,,0.54,ak,ak11622886,2015-06-10T22:41:21.586Z,"61km NNE of Talkeetna, Alaska",earthquake
2015-06-10T22:24:39.770Z,38.7724991,-122.7501678,9.87,0.89,md,12,114,0.01231,0.08,nc,nc72464146,2015-06-10T22:26:15.550Z,"0km SE of The Geysers, California",earthquake
2015-06-10T22:22:31.630Z,35.7448333,-121.3213333,5.53,1.19,md,8,216,0.05406,0.04,nc,nc72464151,2015-06-11T01:39:05.890Z,"16km NW of San Simeon, California",earthquake
2015-06-10T22:20:45.000Z,61.6178,-149.8661,30.3,1.9,ml,,,,0.75,ak,ak11622883,2015-06-10T22:41:20.413Z,"2km WSW of Houston, Alaska",earthquake
2015-06-10T22:19:14.197Z,37.2652,-114.6555,5.8144,1.53,ml,10,105.67,0.345,0.177,nn,nn00498142,2015-06-11T00:39:09.769Z,"40km SSW of Caliente, Nevada",earthquake
2015-06-10T22:07:50.970Z,36.1835,-117.8865,0.412,1.3,ml,9,76,0.1754,0.16,ci,ci37397096,2015-06-11T00:35:09.524Z,"15km SE of Olancha, California",earthquake
2015-06-10T22:04:54.000Z,33.5945,-116.8173333,9.26,0.45,ml,12,158,0.04359,0.06,ci,ci37397088,2015-06-10T22:25:10.618Z,"14km WNW of Anza, California",earthquake
2015-06-10T22:01:30.650Z,-10.54,120.8196,51.44,5,mb,,67,2.352,1.1,us,us20002nts,2015-06-10T22:20:09.330Z,"45km SE of Umakadambung, Indonesia",earthquake
2015-06-10T21:55:12.940Z,35.7345,-121.3296667,6.81,1.07,md,11,212,0.05374,0.03,nc,nc72464121,2015-06-11T01:38:05.730Z,"16km NW of San Simeon, California",earthquake
2015-06-10T21:48:39.190Z,35.7361667,-121.3286667,7.09,2,md,56,185,0.05384,0.05,nc,nc72464111,2015-06-11T01:17:07.290Z,"16km NW of San Simeon, California",earthquake
2015-06-10T21:46:28.000Z,64.9989,-147.3327,0,1.1,ml,,,,0.46,ak,ak11622874,2015-06-10T21:57:06.502Z,"24km NNE of Badger, Alaska",earthquake
2015-06-10T21:46:16.610Z,13.2486,146.1319,47.23,4.7,mb,,166,2.008,0.37,us,us20002ntq,2015-06-10T22:30:04.682Z,"137km ESE of Yigo Mayor's Office, Guam",earthquake
2015-06-10T21:34:36.720Z,49.3954,155.2911,54.72,4.6,mb,,168,4.013,1.13,us,us20002ntb,2015-06-10T21:54:35.540Z,"154km SSW of Severo-Kuril'sk, Russia",earthquake
2015-06-10T21:33:50.000Z,61.2417,-149.3282,30.7,1.1,ml,,,,0.26,ak,ak11622873,2015-06-11T00:02:33.362Z,"30km E of Anchorage, Alaska",earthquake
2015-06-10T21:32:05.700Z,38.8286667,-122.7963333,2.85,0.56,md,7,97,0.01195,0.01,nc,nc72464071,2015-06-10T21:33:40.140Z,"6km W of Cobb, California",earthquake
2015-06-10T21:24:39.000Z,59.2684,-152.5278,87.1,1.8,ml,,,,0.5,ak,ak11622872,2015-06-10T21:33:34.949Z,"68km SW of Anchor Point, Alaska",earthquake
2015-06-10T21:24:25.461Z,41.8545,-119.6322,6.6387,1.35,ml,4,224.17,0.157,0.1471,nn,nn00498136,2015-06-10T21:35:05.292Z,"69km ESE of Lakeview, Oregon",earthquake
2015-06-10T21:06:16.930Z,38.827,-122.7965,3.58,1.54,md,45,25,0.0112,0.05,nc,nc72463991,2015-06-11T01:07:30.121Z,"6km W of Cobb, California",earthquake
2015-06-10T21:04:04.540Z,38.7859993,-122.8393326,6.83,1.02,md,6,133,0.02213,0.12,nc,nc72463986,2015-06-10T21:05:40.900Z,"7km W of The Geysers, California",earthquake
2015-06-10T21:02:32.970Z,33.1481667,-116.5195,8.08,0.83,ml,18,99,0.0937,0.16,ci,ci37397040,2015-06-10T21:52:12.492Z,"11km NE of Julian, California",earthquake
2015-06-10T21:00:28.830Z,33.9121667,-117.525,0.01,0.8,ml,15,128,0.1156,0.25,ci,ci37397032,2015-06-10T21:46:51.242Z,"3km SE of Norco, California",quarry blast
2015-06-10T20:51:25.010Z,36.1855,-117.8746667,3.02,0.52,ml,6,239,0.1669,0.12,ci,ci37397024,2015-06-10T22:21:02.144Z,"16km SE of Olancha, California",earthquake
